# Use 30 iterations and 134.3571s to generate a full prefix circuitThe following are some prefix circuits under level bound 6 with corresponding area, where each line represents a node:
prefix circuit:
0: connectedNodes=(None, None), range=[0:0], left_bound=0, right_bound=0, level=1.
1: connectedNodes=(None, None), range=[1:1], left_bound=1, right_bound=1, level=1.
2: connectedNodes=(None, None), range=[2:2], left_bound=2, right_bound=2, level=1.
3: connectedNodes=(None, None), range=[3:3], left_bound=3, right_bound=3, level=1.
4: connectedNodes=(None, None), range=[4:4], left_bound=4, right_bound=4, level=1.
5: connectedNodes=(None, None), range=[5:5], left_bound=5, right_bound=5, level=1.
6: connectedNodes=(None, None), range=[6:6], left_bound=6, right_bound=6, level=1.
7: connectedNodes=(None, None), range=[7:7], left_bound=7, right_bound=7, level=1.
8: connectedNodes=(None, None), range=[8:8], left_bound=8, right_bound=8, level=1.
9: connectedNodes=(None, None), range=[9:9], left_bound=9, right_bound=9, level=1.
10: connectedNodes=(None, None), range=[10:10], left_bound=10, right_bound=10, level=1.
11: connectedNodes=(None, None), range=[11:11], left_bound=11, right_bound=11, level=1.
12: connectedNodes=(None, None), range=[12:12], left_bound=12, right_bound=12, level=1.
13: connectedNodes=(None, None), range=[13:13], left_bound=13, right_bound=13, level=1.
14: connectedNodes=(None, None), range=[14:14], left_bound=14, right_bound=14, level=1.
15: connectedNodes=(None, None), range=[15:15], left_bound=15, right_bound=15, level=1.
16: connectedNodes=(0, 1), range=[0:1], left_bound=0, right_bound=1, level=2.
17: connectedNodes=(2, 3), range=[2:3], left_bound=2, right_bound=3, level=2.
18: connectedNodes=(4, 5), range=[4:5], left_bound=4, right_bound=5, level=2.
19: connectedNodes=(5, 6), range=[5:6], left_bound=5, right_bound=6, level=2.
20: connectedNodes=(6, 7), range=[6:7], left_bound=6, right_bound=7, level=2.
21: connectedNodes=(7, 8), range=[7:8], left_bound=7, right_bound=8, level=2.
22: connectedNodes=(8, 9), range=[8:9], left_bound=8, right_bound=9, level=2.
23: connectedNodes=(9, 10), range=[9:10], left_bound=9, right_bound=10, level=2.
24: connectedNodes=(10, 11), range=[10:11], left_bound=10, right_bound=11, level=2.
25: connectedNodes=(11, 12), range=[11:12], left_bound=11, right_bound=12, level=2.
26: connectedNodes=(12, 13), range=[12:13], left_bound=12, right_bound=13, level=2.
27: connectedNodes=(13, 14), range=[13:14], left_bound=13, right_bound=14, level=2.
28: connectedNodes=(14, 15), range=[14:15], left_bound=14, right_bound=15, level=2.
29: connectedNodes=(16, 2), range=[0:2], left_bound=0, right_bound=2, level=3.
30: connectedNodes=(16, 17), range=[0:3], left_bound=0, right_bound=3, level=3.
31: connectedNodes=(30, 4), range=[0:4], left_bound=0, right_bound=4, level=4.
32: connectedNodes=(30, 18), range=[0:5], left_bound=0, right_bound=5, level=4.
33: connectedNodes=(31, 19), range=[0:6], left_bound=0, right_bound=6, level=5.
34: connectedNodes=(32, 20), range=[0:7], left_bound=0, right_bound=7, level=5.
35: connectedNodes=(33, 21), range=[0:8], left_bound=0, right_bound=8, level=6.
36: connectedNodes=(34, 22), range=[0:9], left_bound=0, right_bound=9, level=6.
37: connectedNodes=(19, 21), range=[5:8], left_bound=5, right_bound=8, level=3.
38: connectedNodes=(21, 23), range=[7:10], left_bound=7, right_bound=10, level=3.
39: connectedNodes=(22, 24), range=[8:11], left_bound=8, right_bound=11, level=3.
40: connectedNodes=(23, 25), range=[9:12], left_bound=9, right_bound=12, level=3.
41: connectedNodes=(25, 27), range=[11:14], left_bound=11, right_bound=14, level=3.
42: connectedNodes=(26, 28), range=[12:15], left_bound=12, right_bound=15, level=3.
43: connectedNodes=(33, 38), range=[0:10], left_bound=0, right_bound=10, level=6.
44: connectedNodes=(34, 39), range=[0:11], left_bound=0, right_bound=11, level=6.
45: connectedNodes=(39, 12), range=[8:12], left_bound=8, right_bound=12, level=4.
46: connectedNodes=(40, 13), range=[9:13], left_bound=9, right_bound=13, level=4.
47: connectedNodes=(34, 45), range=[0:12], left_bound=0, right_bound=12, level=6.
48: connectedNodes=(37, 46), range=[5:13], left_bound=5, right_bound=13, level=5.
49: connectedNodes=(31, 48), range=[0:13], left_bound=0, right_bound=13, level=6.
50: connectedNodes=(39, 42), range=[8:15], left_bound=8, right_bound=15, level=4.
51: connectedNodes=(34, 50), range=[0:15], left_bound=0, right_bound=15, level=6.
52: connectedNodes=(38, 41), range=[7:14], left_bound=7, right_bound=14, level=4.
53: connectedNodes=(33, 52), range=[0:14], left_bound=0, right_bound=14, level=6.
area:
54
