The following are some prefix circuits under level bound 6 with corresponding area, where each line represents a node:
prefix circuit:
0: connectedNodes=(None, None), range=[0:0], left_bound=0, right_bound=0, level=1.
1: connectedNodes=(None, None), range=[1:1], left_bound=1, right_bound=1, level=1.
2: connectedNodes=(None, None), range=[2:2], left_bound=2, right_bound=2, level=1.
3: connectedNodes=(None, None), range=[3:3], left_bound=3, right_bound=3, level=1.
4: connectedNodes=(None, None), range=[4:4], left_bound=4, right_bound=4, level=1.
5: connectedNodes=(None, None), range=[5:5], left_bound=5, right_bound=5, level=1.
6: connectedNodes=(None, None), range=[6:6], left_bound=6, right_bound=6, level=1.
7: connectedNodes=(None, None), range=[7:7], left_bound=7, right_bound=7, level=1.
8: connectedNodes=(None, None), range=[8:8], left_bound=8, right_bound=8, level=1.
9: connectedNodes=(None, None), range=[9:9], left_bound=9, right_bound=9, level=1.
10: connectedNodes=(None, None), range=[10:10], left_bound=10, right_bound=10, level=1.
11: connectedNodes=(None, None), range=[11:11], left_bound=11, right_bound=11, level=1.
12: connectedNodes=(None, None), range=[12:12], left_bound=12, right_bound=12, level=1.
13: connectedNodes=(None, None), range=[13:13], left_bound=13, right_bound=13, level=1.
14: connectedNodes=(None, None), range=[14:14], left_bound=14, right_bound=14, level=1.
15: connectedNodes=(None, None), range=[15:15], left_bound=15, right_bound=15, level=1.
16: connectedNodes=(2, 3), range=[2:3], left_bound=2, right_bound=3, level=2.
17: connectedNodes=(4, 5), range=[4:5], left_bound=4, right_bound=5, level=2.
18: connectedNodes=(6, 7), range=[6:7], left_bound=6, right_bound=7, level=2.
19: connectedNodes=(8, 9), range=[8:9], left_bound=8, right_bound=9, level=2.
20: connectedNodes=(10, 11), range=[10:11], left_bound=10, right_bound=11, level=2.
21: connectedNodes=(12, 13), range=[12:13], left_bound=12, right_bound=13, level=2.
22: connectedNodes=(14, 15), range=[14:15], left_bound=14, right_bound=15, level=2.
23: connectedNodes=(0, 1), range=[0:1], left_bound=0, right_bound=1, level=2.
24: connectedNodes=(23, 2), range=[0:2], left_bound=0, right_bound=2, level=3.
25: connectedNodes=(3, 17), range=[3:5], left_bound=3, right_bound=5, level=3.
26: connectedNodes=(7, 8), range=[7:8], left_bound=7, right_bound=8, level=2.
27: connectedNodes=(5, 18), range=[5:7], left_bound=5, right_bound=7, level=3.
28: connectedNodes=(19, 10), range=[8:10], left_bound=8, right_bound=10, level=3.
29: connectedNodes=(11, 21), range=[11:13], left_bound=11, right_bound=13, level=3.
30: connectedNodes=(21, 14), range=[12:14], left_bound=12, right_bound=14, level=3.
31: connectedNodes=(24, 3), range=[0:3], left_bound=0, right_bound=3, level=4.
32: connectedNodes=(24, 25), range=[0:5], left_bound=0, right_bound=5, level=4.
33: connectedNodes=(31, 4), range=[0:4], left_bound=0, right_bound=4, level=5.
34: connectedNodes=(5, 6), range=[5:6], left_bound=5, right_bound=6, level=2.
35: connectedNodes=(33, 34), range=[0:6], left_bound=0, right_bound=6, level=6.
36: connectedNodes=(33, 27), range=[0:7], left_bound=0, right_bound=7, level=6.
37: connectedNodes=(20, 12), range=[10:12], left_bound=10, right_bound=12, level=3.
38: connectedNodes=(29, 14), range=[11:14], left_bound=11, right_bound=14, level=4.
39: connectedNodes=(13, 14), range=[13:14], left_bound=13, right_bound=14, level=2.
40: connectedNodes=(11, 12), range=[11:12], left_bound=11, right_bound=12, level=2.
41: connectedNodes=(18, 8), range=[6:8], left_bound=6, right_bound=8, level=3.
42: connectedNodes=(32, 41), range=[0:8], left_bound=0, right_bound=8, level=5.
43: connectedNodes=(42, 9), range=[0:9], left_bound=0, right_bound=9, level=6.
44: connectedNodes=(39, 15), range=[13:15], left_bound=13, right_bound=15, level=3.
45: connectedNodes=(28, 29), range=[8:13], left_bound=8, right_bound=13, level=4.
46: connectedNodes=(38, 15), range=[11:15], left_bound=11, right_bound=15, level=5.
47: connectedNodes=(18, 28), range=[6:10], left_bound=6, right_bound=10, level=4.
48: connectedNodes=(32, 47), range=[0:10], left_bound=0, right_bound=10, level=5.
49: connectedNodes=(48, 11), range=[0:11], left_bound=0, right_bound=11, level=6.
50: connectedNodes=(9, 10), range=[9:10], left_bound=9, right_bound=10, level=2.
51: connectedNodes=(50, 40), range=[9:12], left_bound=9, right_bound=12, level=3.
52: connectedNodes=(48, 40), range=[0:12], left_bound=0, right_bound=12, level=6.
53: connectedNodes=(47, 29), range=[6:13], left_bound=6, right_bound=13, level=5.
54: connectedNodes=(32, 53), range=[0:13], left_bound=0, right_bound=13, level=6.
55: connectedNodes=(48, 38), range=[0:14], left_bound=0, right_bound=14, level=6.
56: connectedNodes=(48, 46), range=[0:15], left_bound=0, right_bound=15, level=6.
area:
57
