# Use 0 iterations and 185.4047s to generate a full prefix circuitThe following are some prefix circuits under level bound 8 with corresponding area, where each line represents a node:
prefix circuit:
0: connectedNodes=(None, None), range=[0:0], left_bound=0, right_bound=0, level=1.
1: connectedNodes=(None, None), range=[1:1], left_bound=1, right_bound=1, level=1.
2: connectedNodes=(None, None), range=[2:2], left_bound=2, right_bound=2, level=1.
3: connectedNodes=(None, None), range=[3:3], left_bound=3, right_bound=3, level=1.
4: connectedNodes=(None, None), range=[4:4], left_bound=4, right_bound=4, level=1.
5: connectedNodes=(None, None), range=[5:5], left_bound=5, right_bound=5, level=1.
6: connectedNodes=(None, None), range=[6:6], left_bound=6, right_bound=6, level=1.
7: connectedNodes=(None, None), range=[7:7], left_bound=7, right_bound=7, level=1.
8: connectedNodes=(0, 1), range=[0:1], left_bound=0, right_bound=1, level=2.
9: connectedNodes=(1, 2), range=[1:2], left_bound=1, right_bound=2, level=2.
10: connectedNodes=(2, 3), range=[2:3], left_bound=2, right_bound=3, level=2.
11: connectedNodes=(3, 4), range=[3:4], left_bound=3, right_bound=4, level=2.
12: connectedNodes=(4, 5), range=[4:5], left_bound=4, right_bound=5, level=2.
13: connectedNodes=(5, 6), range=[5:6], left_bound=5, right_bound=6, level=2.
14: connectedNodes=(6, 7), range=[6:7], left_bound=6, right_bound=7, level=2.
15: connectedNodes=(0, 9), range=[0:2], left_bound=0, right_bound=2, level=3.
16: connectedNodes=(8, 10), range=[0:3], left_bound=0, right_bound=3, level=3.
17: connectedNodes=(15, 11), range=[0:4], left_bound=0, right_bound=4, level=4.
18: connectedNodes=(16, 12), range=[0:5], left_bound=0, right_bound=5, level=4.
19: connectedNodes=(17, 13), range=[0:6], left_bound=0, right_bound=6, level=5.
20: connectedNodes=(18, 14), range=[0:7], left_bound=0, right_bound=7, level=5.
area:
21
