The following are some prefix circuits under level bound 6 with corresponding area, where each line represents a node:
prefix circuit:
0: connectedNodes=(None, None), range=[0:0], left_bound=0, right_bound=0, level=1.
1: connectedNodes=(None, None), range=[1:1], left_bound=1, right_bound=1, level=1.
2: connectedNodes=(None, None), range=[2:2], left_bound=2, right_bound=2, level=1.
3: connectedNodes=(None, None), range=[3:3], left_bound=3, right_bound=3, level=1.
4: connectedNodes=(None, None), range=[4:4], left_bound=4, right_bound=4, level=1.
5: connectedNodes=(None, None), range=[5:5], left_bound=5, right_bound=5, level=1.
6: connectedNodes=(None, None), range=[6:6], left_bound=6, right_bound=6, level=1.
7: connectedNodes=(None, None), range=[7:7], left_bound=7, right_bound=7, level=1.
8: connectedNodes=(None, None), range=[8:8], left_bound=8, right_bound=8, level=1.
9: connectedNodes=(None, None), range=[9:9], left_bound=9, right_bound=9, level=1.
10: connectedNodes=(None, None), range=[10:10], left_bound=10, right_bound=10, level=1.
11: connectedNodes=(None, None), range=[11:11], left_bound=11, right_bound=11, level=1.
12: connectedNodes=(None, None), range=[12:12], left_bound=12, right_bound=12, level=1.
13: connectedNodes=(None, None), range=[13:13], left_bound=13, right_bound=13, level=1.
14: connectedNodes=(None, None), range=[14:14], left_bound=14, right_bound=14, level=1.
15: connectedNodes=(None, None), range=[15:15], left_bound=15, right_bound=15, level=1.
16: connectedNodes=(0, 1), range=[0:1], left_bound=0, right_bound=1, level=2.
17: connectedNodes=(16, 2), range=[0:2], left_bound=0, right_bound=2, level=3.
18: connectedNodes=(2, 3), range=[2:3], left_bound=2, right_bound=3, level=2.
19: connectedNodes=(8, 9), range=[8:9], left_bound=8, right_bound=9, level=2.
20: connectedNodes=(14, 15), range=[14:15], left_bound=14, right_bound=15, level=2.
21: connectedNodes=(4, 5), range=[4:5], left_bound=4, right_bound=5, level=2.
22: connectedNodes=(6, 7), range=[6:7], left_bound=6, right_bound=7, level=2.
23: connectedNodes=(10, 11), range=[10:11], left_bound=10, right_bound=11, level=2.
24: connectedNodes=(12, 13), range=[12:13], left_bound=12, right_bound=13, level=2.
25: connectedNodes=(16, 18), range=[0:3], left_bound=0, right_bound=3, level=3.
26: connectedNodes=(21, 22), range=[4:7], left_bound=4, right_bound=7, level=3.
27: connectedNodes=(19, 23), range=[8:11], left_bound=8, right_bound=11, level=3.
28: connectedNodes=(25, 4), range=[0:4], left_bound=0, right_bound=4, level=4.
29: connectedNodes=(28, 5), range=[0:5], left_bound=0, right_bound=5, level=5.
30: connectedNodes=(29, 6), range=[0:6], left_bound=0, right_bound=6, level=6.
31: connectedNodes=(5, 22), range=[5:7], left_bound=5, right_bound=7, level=3.
32: connectedNodes=(22, 19), range=[6:9], left_bound=6, right_bound=9, level=3.
33: connectedNodes=(9, 10), range=[9:10], left_bound=9, right_bound=10, level=2.
34: connectedNodes=(23, 24), range=[10:13], left_bound=10, right_bound=13, level=3.
35: connectedNodes=(28, 31), range=[0:7], left_bound=0, right_bound=7, level=5.
36: connectedNodes=(35, 27), range=[0:11], left_bound=0, right_bound=11, level=6.
37: connectedNodes=(35, 8), range=[0:8], left_bound=0, right_bound=8, level=6.
38: connectedNodes=(35, 19), range=[0:9], left_bound=0, right_bound=9, level=6.
39: connectedNodes=(27, 12), range=[8:12], left_bound=8, right_bound=12, level=4.
40: connectedNodes=(35, 39), range=[0:12], left_bound=0, right_bound=12, level=6.
41: connectedNodes=(32, 34), range=[6:13], left_bound=6, right_bound=13, level=4.
42: connectedNodes=(13, 14), range=[13:14], left_bound=13, right_bound=14, level=2.
43: connectedNodes=(39, 42), range=[8:14], left_bound=8, right_bound=14, level=5.
44: connectedNodes=(29, 41), range=[0:13], left_bound=0, right_bound=13, level=6.
45: connectedNodes=(35, 43), range=[0:14], left_bound=0, right_bound=14, level=6.
46: connectedNodes=(19, 10), range=[8:10], left_bound=8, right_bound=10, level=3.
47: connectedNodes=(22, 46), range=[6:10], left_bound=6, right_bound=10, level=4.
48: connectedNodes=(35, 46), range=[0:10], left_bound=0, right_bound=10, level=6.
49: connectedNodes=(34, 20), range=[10:15], left_bound=10, right_bound=15, level=4.
50: connectedNodes=(32, 49), range=[6:15], left_bound=6, right_bound=15, level=5.
51: connectedNodes=(29, 50), range=[0:15], left_bound=0, right_bound=15, level=6.
area:
52
