The following are some prefix circuits under level bound 5 with corresponding area, where each line represents a node:
prefix circuit:
0: connectedNodes=(None, None), range=[0:0], left_bound=0, right_bound=0, level=1.
1: connectedNodes=(None, None), range=[1:1], left_bound=1, right_bound=1, level=1.
2: connectedNodes=(None, None), range=[2:2], left_bound=2, right_bound=2, level=1.
3: connectedNodes=(None, None), range=[3:3], left_bound=3, right_bound=3, level=1.
4: connectedNodes=(None, None), range=[4:4], left_bound=4, right_bound=4, level=1.
5: connectedNodes=(None, None), range=[5:5], left_bound=5, right_bound=5, level=1.
6: connectedNodes=(None, None), range=[6:6], left_bound=6, right_bound=6, level=1.
7: connectedNodes=(None, None), range=[7:7], left_bound=7, right_bound=7, level=1.
8: connectedNodes=(None, None), range=[8:8], left_bound=8, right_bound=8, level=1.
9: connectedNodes=(None, None), range=[9:9], left_bound=9, right_bound=9, level=1.
10: connectedNodes=(None, None), range=[10:10], left_bound=10, right_bound=10, level=1.
11: connectedNodes=(None, None), range=[11:11], left_bound=11, right_bound=11, level=1.
12: connectedNodes=(None, None), range=[12:12], left_bound=12, right_bound=12, level=1.
13: connectedNodes=(None, None), range=[13:13], left_bound=13, right_bound=13, level=1.
14: connectedNodes=(None, None), range=[14:14], left_bound=14, right_bound=14, level=1.
15: connectedNodes=(None, None), range=[15:15], left_bound=15, right_bound=15, level=1.
16: connectedNodes=(0, 1), range=[0:1], left_bound=0, right_bound=1, level=2.
17: connectedNodes=(2, 3), range=[2:3], left_bound=2, right_bound=3, level=2.
18: connectedNodes=(4, 5), range=[4:5], left_bound=4, right_bound=5, level=2.
19: connectedNodes=(6, 7), range=[6:7], left_bound=6, right_bound=7, level=2.
20: connectedNodes=(8, 9), range=[8:9], left_bound=8, right_bound=9, level=2.
21: connectedNodes=(10, 11), range=[10:11], left_bound=10, right_bound=11, level=2.
22: connectedNodes=(12, 13), range=[12:13], left_bound=12, right_bound=13, level=2.
23: connectedNodes=(14, 15), range=[14:15], left_bound=14, right_bound=15, level=2.
24: connectedNodes=(16, 17), range=[0:3], left_bound=0, right_bound=3, level=3.
25: connectedNodes=(18, 19), range=[4:7], left_bound=4, right_bound=7, level=3.
26: connectedNodes=(20, 21), range=[8:11], left_bound=8, right_bound=11, level=3.
27: connectedNodes=(22, 23), range=[12:15], left_bound=12, right_bound=15, level=3.
28: connectedNodes=(24, 25), range=[0:7], left_bound=0, right_bound=7, level=4.
29: connectedNodes=(26, 27), range=[8:15], left_bound=8, right_bound=15, level=4.
30: connectedNodes=(28, 29), range=[0:15], left_bound=0, right_bound=15, level=5.
31: connectedNodes=(16, 2), range=[0:2], left_bound=0, right_bound=2, level=3.
32: connectedNodes=(24, 4), range=[0:4], left_bound=0, right_bound=4, level=4.
33: connectedNodes=(32, 5), range=[0:5], left_bound=0, right_bound=5, level=5.
34: connectedNodes=(18, 6), range=[4:6], left_bound=4, right_bound=6, level=3.
35: connectedNodes=(24, 34), range=[0:6], left_bound=0, right_bound=6, level=4.
36: connectedNodes=(7, 8), range=[7:8], left_bound=7, right_bound=8, level=2.
37: connectedNodes=(35, 36), range=[0:8], left_bound=0, right_bound=8, level=5.
38: connectedNodes=(28, 20), range=[0:9], left_bound=0, right_bound=9, level=5.
39: connectedNodes=(20, 10), range=[8:10], left_bound=8, right_bound=10, level=3.
40: connectedNodes=(11, 12), range=[11:12], left_bound=11, right_bound=12, level=2.
41: connectedNodes=(28, 26), range=[0:11], left_bound=0, right_bound=11, level=5.
42: connectedNodes=(26, 12), range=[8:12], left_bound=8, right_bound=12, level=4.
43: connectedNodes=(9, 10), range=[9:10], left_bound=9, right_bound=10, level=2.
44: connectedNodes=(43, 40), range=[9:12], left_bound=9, right_bound=12, level=3.
45: connectedNodes=(28, 39), range=[0:10], left_bound=0, right_bound=10, level=5.
46: connectedNodes=(28, 42), range=[0:12], left_bound=0, right_bound=12, level=5.
47: connectedNodes=(26, 22), range=[8:13], left_bound=8, right_bound=13, level=4.
48: connectedNodes=(28, 47), range=[0:13], left_bound=0, right_bound=13, level=5.
49: connectedNodes=(22, 14), range=[12:14], left_bound=12, right_bound=14, level=3.
50: connectedNodes=(26, 49), range=[8:14], left_bound=8, right_bound=14, level=4.
51: connectedNodes=(28, 50), range=[0:14], left_bound=0, right_bound=14, level=5.
area:
52
