# Use 31 iterations and 115.5427s to generate a full prefix circuitThe following are some prefix circuits under level bound 8 with corresponding area, where each line represents a node:
prefix circuit:
0: connectedNodes=(None, None), range=[0:0], left_bound=0, right_bound=0, level=1.
1: connectedNodes=(None, None), range=[1:1], left_bound=1, right_bound=1, level=1.
2: connectedNodes=(None, None), range=[2:2], left_bound=2, right_bound=2, level=1.
3: connectedNodes=(None, None), range=[3:3], left_bound=3, right_bound=3, level=1.
4: connectedNodes=(None, None), range=[4:4], left_bound=4, right_bound=4, level=1.
5: connectedNodes=(None, None), range=[5:5], left_bound=5, right_bound=5, level=1.
6: connectedNodes=(None, None), range=[6:6], left_bound=6, right_bound=6, level=1.
7: connectedNodes=(None, None), range=[7:7], left_bound=7, right_bound=7, level=1.
8: connectedNodes=(None, None), range=[8:8], left_bound=8, right_bound=8, level=1.
9: connectedNodes=(None, None), range=[9:9], left_bound=9, right_bound=9, level=1.
10: connectedNodes=(None, None), range=[10:10], left_bound=10, right_bound=10, level=1.
11: connectedNodes=(None, None), range=[11:11], left_bound=11, right_bound=11, level=1.
12: connectedNodes=(None, None), range=[12:12], left_bound=12, right_bound=12, level=1.
13: connectedNodes=(None, None), range=[13:13], left_bound=13, right_bound=13, level=1.
14: connectedNodes=(None, None), range=[14:14], left_bound=14, right_bound=14, level=1.
15: connectedNodes=(None, None), range=[15:15], left_bound=15, right_bound=15, level=1.
16: connectedNodes=(0, 1), range=[0:1], left_bound=0, right_bound=1, level=2.
17: connectedNodes=(1, 2), range=[1:2], left_bound=1, right_bound=2, level=2.
18: connectedNodes=(3, 4), range=[3:4], left_bound=3, right_bound=4, level=2.
19: connectedNodes=(5, 6), range=[5:6], left_bound=5, right_bound=6, level=2.
20: connectedNodes=(6, 7), range=[6:7], left_bound=6, right_bound=7, level=2.
21: connectedNodes=(7, 8), range=[7:8], left_bound=7, right_bound=8, level=2.
22: connectedNodes=(8, 9), range=[8:9], left_bound=8, right_bound=9, level=2.
23: connectedNodes=(9, 10), range=[9:10], left_bound=9, right_bound=10, level=2.
24: connectedNodes=(11, 12), range=[11:12], left_bound=11, right_bound=12, level=2.
25: connectedNodes=(13, 14), range=[13:14], left_bound=13, right_bound=14, level=2.
26: connectedNodes=(0, 17), range=[0:2], left_bound=0, right_bound=2, level=3.
27: connectedNodes=(26, 3), range=[0:3], left_bound=0, right_bound=3, level=3.
28: connectedNodes=(26, 18), range=[0:4], left_bound=0, right_bound=4, level=4.
29: connectedNodes=(28, 5), range=[0:5], left_bound=0, right_bound=5, level=5.
30: connectedNodes=(29, 6), range=[0:6], left_bound=0, right_bound=6, level=6.
31: connectedNodes=(30, 7), range=[0:7], left_bound=0, right_bound=7, level=7.
32: connectedNodes=(31, 8), range=[0:8], left_bound=0, right_bound=8, level=8.
33: connectedNodes=(31, 22), range=[0:9], left_bound=0, right_bound=9, level=8.
34: connectedNodes=(18, 19), range=[3:6], left_bound=3, right_bound=6, level=3.
35: connectedNodes=(22, 10), range=[8:10], left_bound=8, right_bound=10, level=3.
36: connectedNodes=(31, 35), range=[0:10], left_bound=0, right_bound=10, level=8.
37: connectedNodes=(17, 34), range=[1:6], left_bound=1, right_bound=6, level=4.
38: connectedNodes=(37, 21), range=[1:8], left_bound=1, right_bound=8, level=5.
39: connectedNodes=(2, 50), range=[2:10], left_bound=2, right_bound=10, level=6.
40: connectedNodes=(39, 11), range=[2:11], left_bound=2, right_bound=11, level=7.
41: connectedNodes=(16, 40), range=[0:11], left_bound=0, right_bound=11, level=8.
42: connectedNodes=(26, 51), range=[0:12], left_bound=0, right_bound=12, level=8.
43: connectedNodes=(23, 24), range=[9:12], left_bound=9, right_bound=12, level=3.
44: connectedNodes=(18, 5), range=[3:5], left_bound=3, right_bound=5, level=3.
45: connectedNodes=(20, 35), range=[6:10], left_bound=6, right_bound=10, level=4.
46: connectedNodes=(43, 25), range=[9:14], left_bound=9, right_bound=14, level=4.
47: connectedNodes=(38, 46), range=[1:14], left_bound=1, right_bound=14, level=6.
48: connectedNodes=(0, 47), range=[0:14], left_bound=0, right_bound=14, level=7.
49: connectedNodes=(48, 15), range=[0:15], left_bound=0, right_bound=15, level=8.
50: connectedNodes=(44, 45), range=[3:10], left_bound=3, right_bound=10, level=5.
51: connectedNodes=(50, 24), range=[3:12], left_bound=3, right_bound=12, level=6.
52: connectedNodes=(42, 13), range=[0:13], left_bound=0, right_bound=13, level=8.
area:
53
