# Use 30 iterations and 108.5311s to generate a full prefix circuitThe following are some prefix circuits under level bound 7 with corresponding area, where each line represents a node:
prefix circuit:
0: connectedNodes=(None, None), range=[0:0], left_bound=0, right_bound=0, level=1.
1: connectedNodes=(None, None), range=[1:1], left_bound=1, right_bound=1, level=1.
2: connectedNodes=(None, None), range=[2:2], left_bound=2, right_bound=2, level=1.
3: connectedNodes=(None, None), range=[3:3], left_bound=3, right_bound=3, level=1.
4: connectedNodes=(None, None), range=[4:4], left_bound=4, right_bound=4, level=1.
5: connectedNodes=(None, None), range=[5:5], left_bound=5, right_bound=5, level=1.
6: connectedNodes=(None, None), range=[6:6], left_bound=6, right_bound=6, level=1.
7: connectedNodes=(None, None), range=[7:7], left_bound=7, right_bound=7, level=1.
8: connectedNodes=(None, None), range=[8:8], left_bound=8, right_bound=8, level=1.
9: connectedNodes=(None, None), range=[9:9], left_bound=9, right_bound=9, level=1.
10: connectedNodes=(None, None), range=[10:10], left_bound=10, right_bound=10, level=1.
11: connectedNodes=(None, None), range=[11:11], left_bound=11, right_bound=11, level=1.
12: connectedNodes=(None, None), range=[12:12], left_bound=12, right_bound=12, level=1.
13: connectedNodes=(None, None), range=[13:13], left_bound=13, right_bound=13, level=1.
14: connectedNodes=(None, None), range=[14:14], left_bound=14, right_bound=14, level=1.
15: connectedNodes=(None, None), range=[15:15], left_bound=15, right_bound=15, level=1.
16: connectedNodes=(0, 1), range=[0:1], left_bound=0, right_bound=1, level=2.
17: connectedNodes=(16, 2), range=[0:2], left_bound=0, right_bound=2, level=3.
18: connectedNodes=(17, 3), range=[0:3], left_bound=0, right_bound=3, level=4.
19: connectedNodes=(18, 4), range=[0:4], left_bound=0, right_bound=4, level=5.
20: connectedNodes=(19, 5), range=[0:5], left_bound=0, right_bound=5, level=6.
21: connectedNodes=(20, 6), range=[0:6], left_bound=0, right_bound=6, level=7.
22: connectedNodes=(6, 7), range=[6:7], left_bound=6, right_bound=7, level=2.
23: connectedNodes=(10, 11), range=[10:11], left_bound=10, right_bound=11, level=2.
24: connectedNodes=(12, 13), range=[12:13], left_bound=12, right_bound=13, level=2.
25: connectedNodes=(13, 14), range=[13:14], left_bound=13, right_bound=14, level=2.
26: connectedNodes=(20, 22), range=[0:7], left_bound=0, right_bound=7, level=7.
27: connectedNodes=(20, 28), range=[0:8], left_bound=0, right_bound=8, level=7.
28: connectedNodes=(22, 8), range=[6:8], left_bound=6, right_bound=8, level=3.
29: connectedNodes=(28, 9), range=[6:9], left_bound=6, right_bound=9, level=4.
30: connectedNodes=(9, 23), range=[9:11], left_bound=9, right_bound=11, level=3.
31: connectedNodes=(25, 15), range=[13:15], left_bound=13, right_bound=15, level=3.
32: connectedNodes=(19, 34), range=[0:9], left_bound=0, right_bound=9, level=7.
33: connectedNodes=(28, 30), range=[6:11], left_bound=6, right_bound=11, level=4.
34: connectedNodes=(5, 29), range=[5:9], left_bound=5, right_bound=9, level=5.
35: connectedNodes=(32, 10), range=[0:10], left_bound=0, right_bound=10, level=7.
36: connectedNodes=(20, 33), range=[0:11], left_bound=0, right_bound=11, level=7.
37: connectedNodes=(33, 12), range=[6:12], left_bound=6, right_bound=12, level=5.
38: connectedNodes=(20, 37), range=[0:12], left_bound=0, right_bound=12, level=7.
39: connectedNodes=(32, 42), range=[0:13], left_bound=0, right_bound=13, level=7.
40: connectedNodes=(37, 31), range=[6:15], left_bound=6, right_bound=15, level=6.
41: connectedNodes=(20, 40), range=[0:15], left_bound=0, right_bound=15, level=7.
42: connectedNodes=(23, 24), range=[10:13], left_bound=10, right_bound=13, level=3.
43: connectedNodes=(42, 14), range=[10:14], left_bound=10, right_bound=14, level=4.
44: connectedNodes=(32, 43), range=[0:14], left_bound=0, right_bound=14, level=7.
area:
45
